finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info
transfer rh lg tachometer #4 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove wheel speed tachometer#4', 'install wheel speed tachometer#4', 'do functional test of the tachometers', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 1.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer rh lg tachometer #7 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove wheel speed tachometer#7', 'install wheel speed tachometer#7', 'do functional test of the tachometers', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 1.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer rh lg tachometer #8 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove wheel speed tachometer#8', 'install wheel speed tachometer#8', 'do functional test of the tachometers', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 1.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer rh nlg runway turn off light from nlg sn 12b15776 to new nlg sn 13b17342,['covered by order 804869638'],[0.1],['gah330e1'],nan
transfer starter duct from esn 42170 to esn 42169,"['obey all of the warnings, cautions and n', 'remove starter duct', 'install starter duct', 'do leak check connection area', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 2.0, 0.1]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer starter qad from esn 42170 to 42169,"['obey all of the warnings, cautions and n', 'remove starter qad', 'install starter qad', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 2.0]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer starter valve from esn 42170 to esn 42169,"['obey all of the warnings, cautions and n', 'remove starter valve', 'install starter valve', 'do leak check connection area', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 2.0, 0.1]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer take off & taxi light from nlg sn 12b15776 to new nlg sn 13b17342,"['obey all of the warnings, cautions and n', 'remove light rh take off & taxi', 'install light rh take off & taxi', 'do operational test of the taxi/take off', 'restore area back to its serviceable con']","[0.1, 5.0, 5.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer upper hpv bleed duct from esn 42170 to esn 42169,"['obey all of the warnings, cautions, and', 'remove duct upper hpv', 'install duct upper hpv', 'do the test', 'do leak check', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 2.0, 1.0, 0.1]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer upper ip check valve bleed duct from esn 42169 to esn 4270,"['obey all of the warnings, cautions, and', 'remove duct upper ip check valve', 'install duct upper ip check valve', 'do the test', 'do visual inspection and leak check', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 2.0, 0.1, 0.1]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer upper prv bleed duct from esn 42170 to esn 42169,"['obey all of the warnings, cautions, and', 'remove duct upper prv', 'install duct upper prv', 'do the leak test of the bleed valve with', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 2.0, 0.1]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transmitter tpis wheel#6 taken for pk-gpx,"['install transmitter tpis wheel #6', 'do the operational test of the tpis', 'do the bite test of the tpis']","[3.0, 2.0, 2.0]","['gah320e1', 'gah320e1', 'gah320e1']",0
transmitter waste tank lh fault,"['obey all of the warnings, cautions, and', 'replace the liquid level transmitter lh', 'do a leak check of liquid level transmit', 'do a operational test of the toilet syst', 'do a leak test of liquid level transmitt']","[1.0, 3.0, 1.0, 1.0, 6.0]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",0
"transmitter, brake pedal taken for pk-gpm","['transmitter, brake pedal taken for']",[0.0],['gah210zz'],0
trash comp door aisle lavatory l61 dent,"['cover by 805216525', 'cover by 805216525']","[0.1, 0.1]","['gah320c1', 'gah320c1']",0
trasnfer btmu 3gw2 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions and n', 'remove btmu 3gw2', 'install btmu 3gw2', 'do the test', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
trasnfer rh lg earthing pin from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove earthing pin from old lg', 'install earthing pin to new lg', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
trasnfer rh lg eccentric earthing pin from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove eccentric pin from the old lg', 'install eccentric pin to the old lg', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
trasnsfer btmu 4gw2 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions and n', 'remove btmu 4gw2', 'install btmu 4gw2', 'do the test', 'restore area back to its serviceable con']","[0.1, 5.0, 5.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
triangle indicator rudder found paint peel off,['do repaint exterior surface finish'],[5.0],['w403'],0
trim air valve fail during egr,"['obey all of the warnings, cautions and n', 'do troubleshoot trim air fault', 'replace trim air valve', 'do leak check the trim air vlv connectio', 'do the system of the cockpit and cabin t', 'restore area back to its serviceable con']","[0.1, 6.0, 4.0, 2.0, 2.0, 0.1]","['gah320e1', 'gah320e1', 'gah320e1', 'gah320e1', 'gah320e1', 'gah320e1']",0
trim tank front spar access panel 319 al found fuel leak,"['obey all of the warnings, cautions, and', 'remove trim tank panel 319al', 'replace packing trim tank panel 319al', 'install trim tank panel 319al', 'do leak test trim tank panel 319al', 'do vapor seal repair', 'restore area back to its serviceable con']","[0.5, 3.0, 3.0, 5.0, 2.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
trim tank fuel leak at panel 319al,['covered by order no 805243876'],[0.5],['gah310a1'],0
trim tank need purging,"['obey the safety procedures when you do w', 'purge and vent the fuel tanks for mainte', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah310s1', 'gah310s1', 'gah310s1']",nan
trim tank panel 319ar found sign of fuel leak,['covered by order no 805243877'],[0.1],['gah310a1'],0
trim tank panel 319bl found sign of fuel leak (covered by 805243879),"['obey all of the warnings, cautions, and', 'remove trim tank panel 319bl', 'do purging the trim tank for maintenance', 'replace packing trim tank panel 319bl', 'do apply sealant to the lower dome nut', 'install trim tank panel 319bl', 'do leak test trim tank panel 319bl', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 2.0, 2.0, 4.0, 2.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310s1', 'gah310a1', 'gah310a1', 'gah310a1']",0
trim tank panel 319dr found sign of fuel leak,['covered by order no 805243880'],[0.1],['gah310a1'],0
trim tank rib 3 fuel line shroud light corrosion,"['obey safety procedure when you do work i', 'drain remain fuel from the trim tank', 'remove fuel line of the trim tank transf', 'cleaning the fuel line', 'examine of the fuel line', 'install fuel line of the trim tank trans', 'do leak check with ground fuel transfer']","[2.0, 3.0, 6.0, 6.0, 4.0, 10.0, 4.0]","['gah320a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
trim tank water drain valve broken,['cover by order 805265284'],[0.1],['gah310a1'],0
"trim upper door lavatory l62,l53 broken","['obey all of the warnings, cautions, and', 'replace section upper trim door lavatory', 'replace section upper trim door lavatory']","[0.5, 1.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
tube lamp (short) of entry ceiling light door 1 found not illuminate qty:3ea,"['obey all of the warnings, cautions and n', 'replace tube lamp of entry ceiling light', 'operational test of entry ceiling light']","[1.0, 2.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
turbo fan chk valve broken,['covered by order no 805265290'],[0.1],['gah330e1'],nan
turbo fan taken from pk-gpv (6250hg) p/n at0516a02,['cover by order 805111852'],[0.1],['gah310e1'],nan
turbofan check valve flapper broken,['replace check valve flapper'],[2.0],['gah310e1'],gb2000aa0:f4957 (check valve idn 492114)
umr ( cabin )psm pk-gha,['umr ( cabin )psm pk-gha'],[1.0],['cgk3t3zz'],0
umr (cabin) inflatable buckle half assem,['umr (cabin) inflatable buckle half assem'],[1.0],['cgk3t3zz'],0
umr (cabin) override - manual (legrest),['umr (cabin) override - manual (legrest)'],[0.0],['gah260zz'],0
umr (cabin) override - manual (recline),['umr (cabin) override - manual (recline)'],[0.0],['gah260zz'],0
umr (cabin) power supply module,"['umr (cabin) power supply module', 'umr (cabin) power supply module']","[1.0, 1.0]","['cgk3t3zz', 'cgk3t3zz']",0
umr (cabin) restraint-4pt rotary,"['umr (cabin) restraint-4pt rotary', 'umr (cabin) restraint-4pt rotary']","[1.0, 1.0]","['cgk3t3zz', 'cgk3t3zz']",0
umr : pk-gha need union,"['umr : pk-gha need union', 'umr : pk-gha need union']","[0.0, 0.0]","['gah210zz', 'gah210zz']",nsa855006d12:f6198 (union)
umr : pk-gpo need 2 ea buffer,['umr : pk-gpo need 2 ea buffer'],[0.0],['gah210zz'],asna2151-02:f6198 (buffer)
umr : pk-gpt need latch,['umr : pk-gpt need latch'],[0.0],['cgk3t3zz'],0
umr atc transponder pk-gpt,['umr atc transponder pk-gpt'],[0.0],['cgk3t3zz'],0
umr braid assy pk-gpt,['umr braid assy pk-gpt'],[0.0],['gah210zz'],nan
umr brake fan motor pk-gpt,['umr brake fan motor pk-gpt'],[0.0],['cgk3t3zz'],nan
umr cab pk gha need pn n40-1b40203-000,['umr cab pk gha need pn n40-1b40203-000'],[0.0],['cgk3t3zz'],0
umr cab pk gha need pn n40-1b40203-102,['umr cab pk gha need pn n40-1b40203-102'],[0.0],['cgk3t3zz'],0
umr cab pk-gha for seat 10d,['umr cab pk-gha for seat 9g'],[0.0],['cgk3t3zz'],0
umr cab pk-gha need pn 18-0100k0kzn-10,['umr cab pk-gha need pn 18-0100k0kzn-10'],[0.0],['cgk3t3zz'],0
umr cab pk-gpo handset cabin assy pn n40-1b40203-102,['umr cab pk-gpo'],[0.0],['cgk3t3zz'],n40-1b40203-102:d9240 (handset assy-cabin)
umr cab pk-gpo restraint system pn 18-01,['umr cab pk-gpo restraint system pn 18-01'],[0.0],['cgk3t3c1'],18-0100k0kzn10:c1624 (restraint system)
umr cab pk-gpo smart monitor pn rdfw8790-51,"['dear aog desk, pse provide part below.']",[0.0],['gah260zz'],0
umr cab pk-gpt need pn 74-20,['umr cab pk-gpt need pn 74-20'],[0.0],['cgk3t3zz'],0
umr cab t - fitting pn as5197j060604,['umr cab t - fitting pn as5197j060604'],[1.0],['cgk3t3c1'],as5197j060604:81343 (t - fitting)
umr cabin part : cross tube assy pk-gha,['umr cabin part : cross tube assy pk-gha'],[1.0],['cgk3t3zz'],0
umr cabin pk-gha cledu u/s pn 1j516-03600-000,['umr cabin pk-gha cledu u/s pn 1j516-0360'],[0.0],['gah210zz'],0
umr cabin pk-gha power supply module pn 93-8510-02-15027:92802 ref cml c83 pcu position seat 7g no power,['umr cabin pk-gha power supply module pn'],[0.0],['cgk3t3zz'],0
umr cabin pk-gpo pn 4270-50-00 ballast unit-advand integrated due date 17 nov 2019,['please provide ballast unit assy pn 4270'],[1.0],['gah260c1'],4270-50-00:d1347 (ballast unit-advand integrated)
umr cabin pk-gpo pn n40-1b40203-102 handset assy-cabin qty 1 ea due date 16 jan 2022,['umr cabin pk-gpo pn n40-1b40203-102 hand'],[0.0],['cgk3t3c1'],0
umr cabin pk-gpt control module pn 72095-5:80477 alt higher assy ar9013- 5w3d102:80477 ar9013-5w3d102:80477 due date 29-aug-2023,['umr cabin pk-gpt control module'],[0.0],['gah210zz'],0
umr cabin pk-gpt faucet assy pn 72095-5 alt higher assy pn ar9013- 5w2d102 qty 1 ea due date 26 jan 2023,['umr cabin pk-gpt faucet assy pn'],[0.0],['cgk3t3c1'],0
umr cabin pk-gpt faucet assy pn ar9013-5w2d102 qty 1 ea due date 16 dec 2019,['pse provide faucet assy pn ar9013-5w2d10'],[1.0],['gah260c1'],ar9013-5w2d102:80477 (faucet-water)
umr cabin pk-gpt pull strap post seat,['umr cabin pk-gpt pull strap post seat'],[0.0],['gah210zz'],0
"umr cabin pk-gpt waste flapper assy missing pn : dcin152-01-918a qty : 1 ea,; bolt pn: a438100220-202 qty : 2 ea ; damper pn :sp20806d qty : 1 ea due date : 11 feb 2020",['pse provide flapper assy pn below base o'],[1.0],['gah260c1'],"sp20806d:24403 (damper)
a438100220-202:c5270 (bolt)
dcin152-01-918a:c5270 (flap assy)"
umr gpt spring tension of latch xz,['umr gpt spring tension of latch xz'],[0.0],['cgk3t3zz'],nan
umr pk-gha  restraint system,['umr pk-gha  restraint system'],[0.0],['cgk3t3zz'],nan
umr pk-gha buckle half assembly lh,['umr pk-gha buckle half assembly lh'],[0.0],['gah290zz'],0
umr pk-gha cord-coiled handset,['umr pk-gha cord-coiled handset'],[0.0],['gah260zz'],0
umr pk-gha door damper charging vlv,['umr pk-gha door damper charging vlv'],[0.0],['cgk3t3zz'],nan
umr pk-gha ejector-fuel drain collector tank,['umr pk-gha ejector-fuel drain collector'],[0.0],['cgk3t3zz'],nan
umr pk-gha hose of  connection-pack,['umr pk-gha hose of  connection-pack'],[0.0],['gah210zz'],nan
umr pk-gha psu wing strobe light,['umr pk-gha psu wing strobe light'],[0.0],['cgk3t3zz'],0
umr pk-gha tcas top antenna,['umr pk-gha tcas top antenna'],[0.0],['cgk3t3zz'],nan
umr pk-gha temp ctrl vlv,['umr pk-gha temp ctrl vlv'],[0.0],['cgk3t3zz'],nan
umr pk-gha valve-manual selector,['umr pk-gha valve-manual selector'],[0.0],['cgk3t3zz'],nan
umr pk-gpo armrest assy,['umr pk-gpo armrest assy'],[0.0],['gah210zz'],nan
umr pk-gpo request part t-fitting,['umr pk-gpo request part t-fitting'],[0.0],['gah260zz'],as5197j060604:81343 (t - fitting)
umr pk-gpt actuator foot rest,['umr pk-gpt actuator foot rest'],[0.0],['gah260zz'],0
umr pk-gpt actuator recline seat 7k,['umr pk-gpt actuator recline seat 7k'],[0.0],['gah260zz'],0
umr pk-gpt boomset,['umr pk-gpt boomset'],[0.0],['cgk3t3zz'],0
umr pk-gpt bottom cover of seat 2nd obsv,['umr pk-gpt bottom cover of seat 2nd obsv'],[0.0],['gah210zz'],nan
umr pk-gpt capt vert switch,['umr pk-gpt capt vert switch'],[0.0],['cgk3t3zz'],0
umr pk-gpt drain plug of eng starter,['umr pk-gpt drain plug of eng starter'],[0.0],['gah210zz'],nan
umr pk-gpt edu video,['umr pk-gpt edu video'],[0.0],['cgk3t3zz'],0
umr pk-gpt f/o blind sliding window,['umr pk-gpt f/o blind sliding window'],[0.0],['cgk3t3zz'],nan
umr pk-gpt fan recirculation,['umr pk-gpt fan recirculation'],[0.0],['cgk3t3zz'],0
umr pk-gpt hf coupler,['umr pk-gpt hf coupler'],[0.0],['cgk3t3zz'],0
umr pk-gpt lh seal-lip,['umr pk-gpt lh seal-lip'],[0.0],['cgk3t3zz'],0
umr pk-gpt life vest door assy seat 9ac,['umr pk-gpt life vest door assy seat 9ac'],[0.0],['gah260zz'],0
umr pk-gpt lower beacon light,['umr pk-gpt lower beacon light'],[0.0],['cgk3t3zz'],0
umr pk-gpt need dc-seb rdfa3124-01:0ff57,['umr pk-gpt need dc-seb rdfa3124-01:0ff57'],[0.0],['gah260zz'],0
umr pk-gpt need potentiometer int light (41lf),['umr pk-gpt need potentiometer int light'],[0.0],['gah210zz'],0
umr pk-gpt need zt rdfa3524-01,['umr pk-gpt need zt rdfa3524-01'],[0.0],['gah260zz'],0
umr pk-gpt pbe,['umr pk-gpt pbe'],[0.0],['gah260zz'],0
umr pk-gpt psu (4lv),['umr pk-gpt psu (4lv)'],[0.0],['cgk3t3zz'],0
umr pk-gpt radar tranceiver unit,['umr pk-gpt radar tranceiver unit'],[0.0],['cgk3t3zz'],0
umr pk-gpt retainer-valve,['umr pk-gpt retainer-valve'],[0.0],['cgk3t3zz'],nan
umr pk-gpt seal lower beacon light,['umr pk-gpt seal lower beacon light'],[0.0],['cgk3t3zz'],0
umr pk-gpt tpic (2gv),['umr pk-gpt tpic (2gv)'],[0.0],['cgk3t3zz'],0
umr pk-gpt tpis sensor,['umr pk-gpt tpis sensor'],[0.0],['cgk3t3zz'],0
umr pk-gpt turbofan supply vlv,['umr pk-gpt turbofan supply vlv'],[0.0],['cgk3t3zz'],0
umr pk-gpt wxr transceiver,['umr pk-gpt wxr transceiver'],[0.0],['cgk3t3zz'],0
umr single motor actuator,['umr single motor actuator'],[0.0],['cgk3t3zz'],nan
umr vlv isolation pk-gpt,['umr vlv isolation pk-gpt'],[0.0],['cgk3t3zz'],0
umr-cab pk-gha 24e507009g03 water heater,['please provide the following umr:'],[1.0],['cgk3t3c1'],"24e507009g03:0ajj0 (water heater airbus a.330, i)"
umr-cab pk-gha d05a00 valve-fill and drain,['please provide the following umr:'],[1.0],['cgk3t3c1'],"d05a00:c3406 (valve fill/drain, idn 48846)"
umr-cab pk-gha pn 2006-1-511-8173 seat belt,['please provide the following umr:'],[0.0],['gah260c1'],2006-1-511-8173-exp:35fb9 (seat belt)
"umr-cab pk-gha pn 93-5512-06-01 rev.a rotary actuator, mcx",['please provide the following umr:'],[1.0],['cgk3t3c1'],"93-5512-06-01:92802 (rotary actuator, mcx)"
umr-cab pk-gpo 4270-51-00 ballast,['please provide the following umr:'],[1.0],['gah260c1'],4270-51-00:d1347 (ballast unit-advand integrated)
umr-cab pk-gpo for seat reconfig,['please provide pn with aog based :'],[0.0],['gah260zz'],"84354350:fa0x2 (rccbp, see p/n. 84354250)
84354350:fa0x2 (rccbp, see p/n. 84354250)
abs5098al29-18:fape3 (raceway)
z310h1300622:c9072 (lens,ns-fsb)
abs5098au29-12:fape3 (section)"
umr-cab pk-gpo pn a2527628520200:fape3 insert and pn a2528475220400:fape3 stopper,['pse provide part below base on aogdesk'],[0.0],['gah260zz'],"a2527628520200:fape3 (insert)
a2528475220400:fape3 (stopper)"
umr-cab pk-gpo ps7-85501-01hf03-b ecu,['please provide the following umr:'],[1.0],['cgk3t3c1'],0
umr-cab pk-gpt 1007510-041hf03 armrest assembly,['please provide the following umr:'],[1.0],['gah260c1'],nan
umr-cab pk-gpt 18-0100k0kzn-10 restraint,['please provide the following umr:'],[1.0],['gah260c1'],18-0100k0kzn-10:c1624 (restraint-4pt rotary)
umr-cab pk-gpt cord pn n40-1b50000-100,['umr-cab pk-gpt cord pn n40-1b50000-100'],[0.0],['gah260zz'],0
umr-cabin pk-gpt robbing vacuum generator pn j540ai4-100:d1227 to support pk-gpr. due date 8 dec 2020. hil cat a,"['warning:', 'do remove vacuum blower pn j540ai4-100:d']","[0.0, 1.0]","['cgk3t3c1', 'cgk3t3c1']","j540ai4-100:d1227 (generator, vacuum)"
umr: pk-gha need cable and pin,['umr: pk-gha need cable and pin'],[0.0],['gah210zz'],nan
umr: pk-gha need connector,['umr: pk-gha need connector'],[0.0],['gah210zz'],"e0163d01-01:f5442 (connectr)
4059:f6177 (aircraft battery)
405ch:f6177 (main battery)"
umr: pk-gha need discharger,['umr: pk-gha need discharger'],[0.0],['cgk3t3zz'],0
umr: pk-gha need folding strut,['umr: pk-gha need folding strut'],[0.0],['cgk3t3zz'],0
umr: pk-gha need fuel ank drain valve,['umr: pk-gha need fuel ank drain valve'],[0.0],['gah220zz'],nan
umr: pk-gha need fueling cap,['umr: pk-gha need fueling cap'],[0.0],['cgk3t3zz'],0
umr: pk-gha need fuelling panel latch,['umr: pk-gha need fuelling panel latch'],[0.0],['gah210zz'],abs0262-3:fape3 (latch)
umr: pk-gha need observer boom set,['umr: pk-gha need observer boom set'],[0.0],['cgk3t3zz'],026-35-999-3211:d8114 (boomset)
umr: pk-gha need printer,['umr: pk-gha need printer'],[0.0],['gah210zz'],"k282aam0406:f9111 (printer, code p31)"
