finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info,plants_per_step,order_info
rh mlg aft pintle pin bushes found has sign of migration,"['obey all warnings, cautions, and notes a', 'engineering note :', 'remove the damaged fillet sealant from t', 'do a detailed inspection of the area inc', 'reseal assembly using sealant', 'check the aft pintle pin clearance gaps', 'paint a witness mark on the bush and lug', 'apply corrosion preventative compound (c', 'restore area back to its serviceable con']","[0.1, 1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0]","['gah330a1', 'gah330a1', 'gah330s1', 'gah330a1', 'gah330s1', 'gah330a1', 'w403', 'gah330a1', 'gah330a1']","ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20))
ardroxav30:0l040 (corrosion inhibiting compound)
pr148af:92108 (adhesion promoter)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3']",805577312
rh mlg aft pintle pin found paint peel off,"['obey all of the warnings, caution, and n', 'do repair paint rh mlg aft pintle pin', 'restore area back to its serviceable con']","[0.1, 5.0, 0.1]","['w403', 'w403', 'w403']",,"['wspt', 'wspt', 'wspt']",805584057
rh mlg alternate brake accumulator internal leak ( pressure more than 1 bar below the minimum limit and no found external leak ),"['obey all of the warnings, cautions, and', 'replace alternate brake return accumulat', 'pressurize the alternate brake return ac', 'do operational test of the alternate bra', 'do leak check of the brake return accumu', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 2.0, 1.0, 0.5]","['gah310a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","ms9581-10:99193 (washer)
c20288000-1:f6137 (accumulator, brake)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805434550
rh mlg axle found paint peel off,"['obey all of the warnings, cautions and n', 'do clean up at rh mlg axle', 'restore area back to its serviceable con']","[0.5, 4.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']",,"['gah3', 'gah3', 'gah3']",805584056
rh mlg axle sleeve #3 found nick,"['obey all of the warnings, cautions, and', 'measure axle sleeve#3 due to fretting', 'remove sharp edge use abrasive paper', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",velcrop320:gmfdm (abrasive paper 5' grade 320),"['gah3', 'gah3', 'gah3', 'gah3']",805582662
rh mlg axle sleeve #4 found nick,"['obey all of the warnings, cautions, and', 'measure axle sleeve#4 due to fretting', 'remove sharp edge use abrasive paper', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",velcrop320:gmfdm (abrasive paper 5' grade 320),"['gah3', 'gah3', 'gah3', 'gah3']",805582663
rh mlg axle sleeve #8 found nick,"['obey all of the warnings, cautions, and', 'measure axle sleeve#8 due to fretting', 'remove sharp edge use abrasive paper', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",velcrop320:gmfdm (abrasive paper 5' grade 320),"['gah3', 'gah3', 'gah3', 'gah3']",805582664
"rh mlg blue brake manifold indicator blur, empty fluid","['obey all of the warnings, caution, and n', 'replace rh mlg blue normal brake return', 'do test', 'restore area back to its serviceable con']","[0.5, 4.0, 2.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']","ms24665-132:96906 (pin (not for brake torque mlg a330))
c20288000-2:f6137 (accumulator, brake)","['gah3', 'gah3', 'gah3', 'gah3']",805129216
rh mlg bracket near pitchtrim manifold pn f5755196520100 found crack,"['obey all of the warnings, cautions, and', 'replace bracket', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah310a1', 'gah330a1', 'gah330a1']",f5755196520100:fape3 (bracket),"['gah3', 'gah3', 'gah3']",805491679
rh mlg brake #8 temp sensor lock pin ball damaged,"['obey all warnings, cautions and notes as', 'replace lock pin at mlg brake #8', 'restore area back to its serviceable con']","[0.5, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1']",3201-04-03:u1595 (pin),"['gah3', 'gah3', 'gah3']",805517225
rh mlg brake fitting #7 found black deposit,"['obey all of the warnings, cautions and n', 'replace o-ring brake hydraulic coupling', 'do bleeding the normal braking system at', 'operational test of the normal braking s', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 2.0, 0.5]","['gah330a1', 'gah320a1', 'gah320a1', 'gah320a1', 'gah320a1']","201042189:k0654 (coupling)
nas1602-906:80205 (packing)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805254589
rh mlg brake fitting #8 found black deposit,"['obey all of the warnings, cautions and n', 'replace o-ring brake hydraulic coupling', 'do bleeding the normal braking system at', 'do operational test of the normal brakin', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 2.0, 0.5]","['gah330a1', 'gah320a1', 'gah320a1', 'gah320a1', 'gah320a1']",nas1602-906:80205 (packing),"['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805254588
rh mlg door bypass valve 5229ga found leak,"['obey all of the warnings, cautions and n', 'replace l/g door bypass-valve', 'do functional test l/g door', 'restore area back to its serviceable con', 'obey all of the warnings, cautions, and', 'replace door bypass valve', 'do functional test do 5 full door close/', 'restore area back to its serviceable con']","[0.5, 3.0, 1.0, 0.5, 0.1, 3.0, 2.0, 0.5]","['gah330a1', 'gah320a1', 'gah320a1', 'gah320a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","nas1611-015a:80205 (packing)
nas1611-015a:80205 (packing)
12d0024:k2523 (valve-l/g bypass, (postmod))","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805259912
"rh mlg door bypass valve found leak from body, port b, and black depositat port a <(>&<)> c","['obey all of the warnings, cautions, and', 'replace rh mlg door bypass valve', 'do functional test and examine for leaka', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","ms24665-153:96906 (cotter pin)
12d0024:k2523 (valve-l/g bypass, (postmod))","['gah3', 'gah3', 'gah3', 'gah3']",805571380
rh mlg door ctr hinge fitting bonding lead broken,"['obey all of the warnings, cautions, and', 'replace bonding', 'do a resistance check of the bonding', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",e0092-10-250nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805369733
rh mlg door ctr rubber seal torn,"['obey all of the warnings, caution, and n', 'replace seal at rh mlg door ctr', 'restore area back to its serviceable con']","[0.1, 4.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",f5281056200700:fape3 (seal),"['gah3', 'gah3', 'gah3']",805469482
rh mlg door found paint peel off,['cover by exterior paint order 805258901'],[0.1],['gah320e1'],,['gah3'],805270228
rh mlg door fwd upper corner rubber seal torn,"['obey all of the warnings, caution, and n', 'replace rubber seal at rh mlg door fwd u', 'restore area back to its serviceable con']","[0.1, 3.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",f5281056300700:fape3 (seal),"['gah3', 'gah3', 'gah3']",805469340
rh mlg door handle pin found broken,"['obey all warnings, cautions and notes as', 'replace pin at rh mlg door handle', 'restore area back to its serviceable con']","[0.5, 1.0, 0.5]","['gah330a1', 'gah320a1', 'gah320a1']","f3231527320000:fape3 (pin)
ms24665-88:96906 (cotter pin)
ms24665-88:96906 (cotter pin)","['gah3', 'gah3', 'gah3']",805259905
rh mlg door paint peel off,['cover by jc paint external livery order'],[0.1],['gah320e1'],,['gah3'],805266704
rh mlg door rear seal (ipc item 150) torn,"['obey all of the warnings, caution, and n', 'remove screw stuck', 'replace rh mlg door rear seal', 'restore area back to its serviceable con']","[0.1, 1.0, 1.0, 0.1]","['gah330a1', 'gah330s1', 'gah330a1', 'gah330a1']","asna2001t3-5:f6198 (screw)
f5281076500700:fape3 (seal)","['gah3', 'gah3', 'gah3', 'gah3']",805425817
rh mlg door seal broken upper side,['covered by order no 805566757'],[0.1],['gah330a1'],,['gah3'],805582477
rh mlg door shim on stopper bracket #4 chaffing,"['read and fully understad the specified m', 'remove stop bracket#4 rh mlg for repair', 'remove and discard the damaged shim.', 'prepare new shim to match footprint of f', 'set and drill fasteners hole at the new', 'install new shim wet with sealant.', 'apply fillet seal.', 'restore repair access by install mlg sto', 'apply protective treatment, and structur', 'restore area back to its serviceable con']","[1.0, 2.0, 1.0, 4.0, 4.0, 2.0, 1.0, 1.0, 1.0, 1.0]","['gah330a1', 'gah330a1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330a1', 'w403', 'gah330a1']","p99-7641-3600:0zx56 (wash primer (alt. p/n fcr-primer))
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
pu665440:gmfdm (polyurethane topcoat grey)
f5281050320400:fape3 (shim)
en6101ad4-07:i9005 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3']",805369731
rh mlg door stop teflon position lower found broken,"['read and fully understad the specified m', 'damage assesment :', 'remove rh stop bracket no 4 for repair a', 'remove and discard damaged shim.', 'cut and setting of new shim into stop br', 'wet install new shim with suitable faste', 'apply fillet seal and completely inclosi', 'apply protection treatment and paint fin', 'install rh stop bracket no 4 and restore', 'restore area back to its serviceable con']","[0.1, 1.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0, 1.0, 0.0]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'w403', 'gah330a1', 'gah330a1']","f5281050320000:fape3 (shim)
ms20426ad4-10:96906 (rivet (alt. pn en6101ad4-10))","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3']",805582670
rh mlg door stop teflon position lower-fwd found broken,['covered by mdr 805576747'],[0.1],['gah330a2'],,['gah3'],805582671
rh mlg door stop teflon position upper found broken,['covered by mdr 805576747'],[0.1],['gah330a1'],,['gah3'],805582669
rh mlg door stopper #4 chaffing,"['obey all of the warnings, cautions, and', 'remove mlg door stop bracket #4', 'perform replacement shim', 'apply appropriate surface treatment and', 'install mlg door stop bracket #4', 'restore area back to its serviceable con']","[0.5, 2.0, 5.0, 1.0, 2.0, 0.5]","['gah320a1', 'gah320a1', 'gah320s1', 'w403', 'gah320a1', 'gah320a1']","alodine1200s:71410 (chromat conversion coating)
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
pu665440:gmfdm (polyurethane topcoat grey)
f5281050320400:fape3 (shim)
en6101ad4-07:i9005 (rivet)","['gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3']",805469481
rh mlg door stopper bracket #3 chaffing,"['read and fully understad the specified m', 'blend out damage & do smooth polished co', 'do hfec inspection to ensure any crack.', 'perform skin grid mapping and', 'damage assesment:', 'depend on all parameter above, this rewo', 'restore surface protection.', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","['gah330s1', 'gah330s1', 'w807', 'w808', 'gah330s1', 'gah330s1', 'w403', 'w403']","pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))
pu665440:gmfdm (polyurethane topcoat grey)","['gah3', 'gah3', 'wsnc', 'wsnc', 'gah3', 'gah3', 'wspt', 'wspt']",805369730
rh mlg door stopper position center found broken pad,"['read and fully understad the specified m', 'replace broken locking system pad.', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1']","f5281053220001:fape3 (pad)
4807-0512:19738 (rivet)","['gah3', 'gah3', 'gah3']",805460419
rh mlg earthing pin found corrosion,"['obey all of the warnings, caution, and n', 'replace rh mlg earthing pin', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']","f3215003600200:fape3 (pin assy)
ms24665-361:96906 (pin)","['gah3', 'gah3', 'gah3']",805577310
rh mlg eccentric pin corrosion,"['obey all of the warnings, caution, and n', 'replace rh mlg eccentric pin', 'restore area back to its serviceable con']","[0.1, 3.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1']",f3215005300000:fape3 (pin-eccentric),"['gah3', 'gah3', 'gah3']",805125456
rh mlg eccentric pin found corrosion,"['obey all of the warnings, caution, and n', 'replace rh mlg eccentric pin', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",f3215005300000:fape3 (pin-eccentric),"['gah3', 'gah3', 'gah3']",805573100
rh mlg electrical harness suspect damage,"['obey all of the warnings, cautions and n', 'do inspect and check rh mlg electrical h', 'do continuity check to ensure no damage', 'restore area back to its serviceable con', 'cover by mdr 805127409']","[0.5, 8.0, 2.0, 0.5, 0.1]","['gah310e1', 'gah310e1', 'gah310e1', 'gah310e1', 'gah310a1']",,"['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805127409
rh mlg fix door rod nut and bolt bonding not install,"['obey all of the warnings, cautions, and', 'install bolt and nut', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah310a1', 'gah330a1', 'gah330a1']","e0091-40-250nn:f5442 (lead)
nas1149c0432r:80205 (washer)
nas1726-4e:80205 (nut)
nas6604-3:80205 (bolt)","['gah3', 'gah3', 'gah3']",805484079
rh mlg fwd bushing found scratch,"['obey all of the warnings, caution, and n', 'remove scratch at rh mlg fwd bushing', 'restore area back to its serviceable con']","[0.1, 4.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",,"['gah3', 'gah3', 'gah3']",805584053
rh mlg need resealant all acces remove landing gear,"['obey all warnings, cautions and notes as', 'reseal the affected area']","[0.1, 4.0]","['gah310s1', 'gah310s1']",ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20)),"['gah3', 'gah3']",805350431
rh mlg over wing rear spar panel found crack,"['obey all of the warnings, cautions, and', 'replace bracket', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",f5755196520100:fape3 (bracket),"['gah3', 'gah3', 'gah3']",805579523
rh mlg over wing tubing clamp nsa5516-18n found broken,"['obey all warnings, cautions and notes as', 'replace clamp tubing at rh mlg overwing', 'restore area back to its serviceable con']","[0.5, 2.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']",nsa5516-18nd:f6198 (clamp),"['gah3', 'gah3', 'gah3']",805579524
rh mlg pintle pin degreasing broken,"['obey all of the warnings, caution, and n', 'replace rh mlg pintle pin degreasing', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1']","nas6604-14:80205 (bolt)
nsa5472-4k7:f5442 (nut)
nsa5122c4-110:f5442 (bush-shouldered)","['gah3', 'gah3', 'gah3']",805129217
rh mlg pitch trim actuator leak evidence,"['obey all of the warnings, cautions, and', 'eximine leak at rh mlg pitch trim actuat', 'restore area back to its serviceable con']","[0.5, 4.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']","nas1612-2:80205 (packing)
nas1612-8a:80205 (packing)","['gah3', 'gah3', 'gah3']",805477019
rh mlg secondary door paint peel off,['cover by jobcard livery extenal paint or'],[2.0],['gah320e1'],"nas1149c0432r:80205 (washer)
nas1304-7:80205 (bolt)
nas1304-7:80205 (bolt)
nsa5474-4k7:f5442 (nut)",['gah3'],805266705
rh mlg shock absorber pressure indicator broken,"['obey all of the warnings, caution, and n', 'replace rh mlg shock absorber pressure i', 'do a check of the mlg shock-absorber pre', 'restore area back to its serviceable con']","[0.1, 1.0, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","m83461-1-009:81349 (packing, preformed)
30-1211095-01:u1598 (gauge-pressure)
m8791-1-009:fape3 (ring backup)
m8791-1-009:fape3 (ring backup)","['gah3', 'gah3', 'gah3', 'gah3']",805375164
rh mlg strut servicing cover bolt taken for support dq-fjv,"['obey all of the warnings, cautions, and', 'install bolt', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']",nas564-15:80205 (bolt),"['gah3', 'gah3', 'gah3']",805266707
rh mlg strut servicing cover washer taken for support dq-fjt,"['obey all of the warnings, cautions, and', 'install washer', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']","nas1149f0332p:80205 (washer)
nas1149f0432p:80205 (washer , substitude an960-416l)
asna2397-416l:f6198 (washer, flat)
nas564-15:80205 (bolt)","['gah3', 'gah3', 'gah3']",805266708
rh mlg turnbuckle link found scratch,"['obey all of the warnings, caution, and n', 'remove scratch at rh mlg turnbuckle link', 'do touch up paint rh mlg turnbuckle link', 'restore area back to its serviceable con']","[0.1, 4.0, 2.0, 0.1]","['gah330a1', 'gah330a1', 'w403', 'gah330a1']",,"['gah3', 'gah3', 'wspt', 'gah3']",805584054
rh mlg well door bonding broken 2 ea,"['obey all of the warnings, cautions and n', 'replace bonding jumper', 'do bonding jumper resistance test', 'restore area back to its serviceable con']","[0.5, 5.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']","e0092-10-250nn:f5442 (lead)
e0092-10-300nn:f5442 (lead)","['gah3', 'gah3', 'gah3', 'gah3']",805566758
rh mlg well door seal broken upper front side,"['obey all of the warnings, cautions and n', 'replace rh mlg door rubber seal post at', 'restore area back to its serviceable con']","[0.1, 3.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",f5281056300700:fape3 (seal),"['gah3', 'gah3', 'gah3']",805566757
rh mlg wheel axle #4 found scratch,"['obey all of the warnings, cautions, and', 'examine rh mlg wheel axle #4', 'do a repair surface damage', 'do clean the part after repair', 'apply protective treatment', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 2.0, 2.0, 0.5]","['gah310a1', 'gah330a1', 'gah330a1', 'gah330a1', 'w303', 'gah330a1']",,"['gah3', 'gah3', 'gah3', 'gah3', 'wsst', 'gah3']",805468269
rh mlg wheel no.7 found worn out,"['obey all warnings, cautions and notes as', 'do the inspect rh mlg wheel #7', 'replace rh mlg wheel no.7', 'inflate the tire to the correct pressure', 'do a functional test of the brake fan', 'do a bite test of the tpis', 'restore area back to its serviceable con']","[0.5, 5.0, 6.0, 2.0, 2.0, 1.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","4611375003:f4957 (tab washer)
ms20426ad3-5:96906 (rivet)
ms24665-153:96906 (cotter pin)
abs0604-4:fape3 (washer)
asna2857-030:f6198 (stud)
nas1169c10:80205 (washer)
3-1546:0zc54 (main wheel assy (npnmwtp1s)- pn qe54964)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805378972
